#zmin zmax sigma_e1 sigma_e2 neff nobj
0.101 0.301 0.292337 0.293571 2.3535688492 3879823
0.301 0.601 0.285188 0.285934 2.60887072362 4190501
0.601 0.901 0.282309 0.283926 2.56492244934 4457294
